raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,tif_name
VJ103DNB.A2025307.1812.021.2025308000836.nc,3,A2025307,1812,21,1036347131.68798,1036347489.569408,357.88142800331116,18:11,18:11:24,"POLYGON ((127.42487335205078 8.242532730102539, 94.56421661376953 13.652403831481934, 97.53119659423828 34.32427215576172, 135.04632568359375 27.63528060913086, 127.42487335205078 8.242532730102539))",A2025307_1812_021.tif
VJ103DNB.A2025308.1606.021.2025308221929.nc,3,A2025308,1606,21,1036425970.246646,1036426329.914654,359.66800796985626,16:05,16:05:23,"POLYGON ((164.3653106689453 26.051013946533203, 127.36660766601562 32.6533088684082, 128.16317749023438 53.39640808105469, 177.28707885742188 44.098751068115234, 164.3653106689453 26.051013946533203))",A2025308_1606_021.tif
VJ103DNB.A2025308.1612.021.2025308221834.nc,3,A2025308,1612,21,1036426331.13746,1036426689.018884,357.8814239501953,16:11,16:11:24,"POLYGON ((157.083251953125 6.644410610198975, 124.39215850830078 11.98445987701416, 127.36591339111328 32.65534591674805, 164.39443969726562 26.114309310913086, 157.083251953125 6.644410610198975))",A2025308_1612_021.tif
VJ103DNB.A2025308.1748.021.2025308221930.nc,3,A2025308,1748,21,1036432091.097344,1036432448.978735,357.8813909292221,17:47,17:47:24,"POLYGON ((138.25259399414062 24.52057456970215, 101.90723419189453 30.979433059692383, 102.8797378540039 51.63252639770508, 150.4700927734375 42.664546966552734, 138.25259399414062 24.52057456970215))",A2025308_1748_021.tif
VJ103DNB.A2025308.1754.021.2025309000751.nc,3,A2025308,1754,21,1036432450.201519,1036432809.869516,359.6679970026016,17:53,17:53:23,"POLYGON ((131.24148559570312 4.945250988006592, 98.68180084228516 10.217548370361328, 101.87001037597656 30.98175811767578, 138.266357421875 24.588193893432617, 131.24148559570312 4.945250988006592))",A2025308_1754_021.tif
VJ103DNB.A2025308.1930.021.2025309000808.nc,3,A2025308,1930,21,1036438210.161094,1036438569.829061,359.66796708106995,19:29,19:29:23,"POLYGON ((112.11917877197266 22.889286041259766, 76.2395248413086 29.206411361694336, 77.52507019042969 49.967342376708984, 123.79911804199219 41.295654296875, 112.11917877197266 22.889286041259766))",A2025308_1930_021.tif
VJ103DNB.A2025309.1548.021.2025309201704.nc,3,A2025309,1548,21,1036511290.546381,1036511650.214424,359.6680430173874,15:47,15:47:23,"POLYGON ((167.6234588623047 22.887935638427734, 131.74293518066406 29.207815170288086, 133.0379638671875 49.970794677734375, 179.2991943359375 41.2978630065918, 167.6234588623047 22.887935638427734))",A2025309_1548_021.tif
VJ103DNB.A2025309.1724.021.2025309215737.nc,3,A2025309,1724,21,1036517050.506419,1036517410.174416,359.6679970026016,17:23,17:23:23,"POLYGON ((152.5925750732422 39.75550842285156, 107.70958709716797 48.201568603515625, 104.07455444335938 68.73140716552734, 173.72377014160156 55.19375991821289, 152.5925750732422 39.75550842285156))",A2025309_1724_021.tif
VJ103DNB.A2025309.1730.021.2025309215734.nc,3,A2025309,1730,21,1036517411.397201,1036517769.278617,357.8814160823822,17:29,17:29:24,"POLYGON ((141.57431030273438 21.341028213500977, 106.19408416748047 27.535280227661133, 107.70499420166016 48.2040901184082, 152.6309814453125 39.81806182861328, 141.57431030273438 21.341028213500977))",A2025309_1730_021.tif
VJ103DNB.A2025309.1906.021.2025310004100.nc,3,A2025309,1906,21,1036523171.356861,1036523529.238268,357.8814070224762,19:05,19:05:24,"POLYGON ((126.06273651123047 38.34291458129883, 82.26876831054688 46.53288650512695, 79.48873138427734 67.00068664550781, 145.92532348632812 54.10308837890625, 126.06273651123047 38.34291458129883))",A2025309_1906_021.tif
VJ103DNB.A2025309.1912.021.2025310004101.nc,3,A2025309,1912,21,1036523530.461053,1036523890.129047,359.6679940223694,19:11,19:11:23,"POLYGON ((115.51641082763672 19.68942642211914, 80.5616455078125 25.761030197143555, 82.26081848144531 46.53525161743164, 126.09278869628906 38.40789031982422, 115.51641082763672 19.68942642211914))",A2025309_1912_021.tif
VJ103DNB.A2025310.1706.021.2025310221850.nc,3,A2025310,1706,21,1036602370.806613,1036602730.474617,359.6680040359497,17:05,17:05:23,"POLYGON ((155.0298309326172 36.8228645324707, 112.37623596191406 44.764503479003906, 110.28038024902344 65.3710708618164, 173.8974151611328 53.02580261230469, 155.0298309326172 36.8228645324707))",A2025310_1706_021.tif
VJ103DNB.A2025310.1712.021.2025310221851.nc,3,A2025310,1712,21,1036602731.697402,1036603089.578804,357.88140201568604,17:11,17:11:24,"POLYGON ((145.0078887939453 18.131240844726562, 110.4668197631836 24.08954429626465, 112.3715591430664 44.76695251464844, 155.063232421875 36.88652038574219, 145.0078887939453 18.131240844726562))",A2025310_1712_021.tif
VJ103DNB.A2025310.1848.021.2025310235956.nc,3,A2025310,1848,21,1036608491.657229,1036608849.538652,357.881422996521,18:47,18:47:24,"POLYGON ((128.616943359375 35.37520980834961, 87.00720977783203 43.09595489501953, 85.40057373046875 63.62565612792969, 146.36314392089844 51.83259201049805, 128.616943359375 35.37520980834961))",A2025310_1848_021.tif
VJ103DNB.A2025310.1854.021.2025310235956.nc,3,A2025310,1854,21,1036608850.761437,1036609210.429445,359.66800796985626,18:53,18:53:23,"POLYGON ((119.01564025878906 16.462913513183594, 84.8433837890625 22.314464569091797, 87.00360870361328 43.09766387939453, 128.63272094726562 35.444969177246094, 119.01564025878906 16.462913513183594))",A2025310_1854_021.tif
VJ103DNB.A2025311.1648.021.2025311231351.nc,3,A2025311,1648,21,1036687691.107548,1036688048.98897,357.8814220428467,16:47,16:47:24,"POLYGON ((157.7403106689453 33.914424896240234, 116.97480010986328 41.42210006713867, 115.95296478271484 61.97911071777344, 174.56190490722656 50.667850494384766, 157.7403106689453 33.914424896240234))",A2025311_1648_021.tif
VJ103DNB.A2025311.1654.021.2025311225750.nc,3,A2025311,1654,21,1036688050.211754,1036688409.879785,359.66803097724915,16:53,16:53:23,"POLYGON ((148.55812072753906 14.88723087310791, 114.71664428710938 20.639564514160156, 116.97122192382812 41.42445373535156, 157.76907348632812 33.97907257080078, 148.55812072753906 14.88723087310791))",A2025311_1654_021.tif
VJ103DNB.A2025311.1830.021.2025312004315.nc,3,A2025311,1830,21,1036693810.171721,1036694169.839729,359.66800796985626,18:29,18:29:23,"POLYGON ((131.34780883789062 32.35481643676758, 91.50303649902344 39.64828872680664, 90.89412689208984 60.32802963256836, 147.3646697998047 49.46955490112305, 131.34780883789062 32.35481643676758))",A2025311_1830_021.tif
